year,month,hadcrut4,gistemp,berkeley,cowtan_way
1850,1,-0.808,,-1.0,-0.903
1850,2,-0.394,,-0.483,-0.306
1850,3,-0.84,,-0.62,-0.556
1850,4,-0.671,,-0.919,-0.683
1850,5,-0.435,,-0.906,-0.63
1850,6,-0.321,,-0.618,-0.403
1850,7,-0.233,,-0.472,-0.162
1850,8,-0.345,,-0.459,-0.127
1850,9,-0.547,,-0.723,-0.418
1850,10,-0.559,,-0.874,-0.749
1850,11,-0.295,,-0.878,-0.588
1850,12,-0.365,,-0.799,-0.538
1851,1,-0.404,,-0.492,-0.283
1851,2,-0.464,,-0.744,-0.543
1851,3,-0.587,,-0.885,-0.843
1851,4,-0.549,,-0.914,-0.808
1851,5,-0.403,,-0.614,-0.312
1851,6,-0.305,,-0.495,-0.19
1851,7,-0.32,,-0.44,-0.171
1851,8,-0.265,,-0.536,-0.183
1851,9,-0.209,,-0.621,-0.18
1851,10,-0.165,,-0.395,-0.174
1851,11,-0.128,,-0.643,-0.23
1851,12,-0.159,,-0.442,-0.174
1852,1,-0.423,,-0.539,-0.608
1852,2,-0.585,,-0.786,-0.605
1852,3,-0.61,,-1.028,-0.789
1852,4,-0.665,,-0.816,-0.816
1852,5,-0.319,,-0.443,-0.227
1852,6,-0.148,,-0.414,-0.113
1852,7,-0.126,,-0.329,-0.08
1852,8,-0.31,,-0.634,-0.313
1852,9,-0.233,,-0.595,-0.217
1852,10,-0.324,,-0.451,-0.281
1852,11,-0.301,,-0.811,-0.519
1852,12,-0.035,,-0.22,0.055
1853,1,-0.29,,-0.616,-0.385
1853,2,-0.435,,-0.694,-0.501
1853,3,-0.417,,-0.746,-0.599
1853,4,-0.463,,-0.646,-0.563
1853,5,-0.376,,-0.547,-0.362
1853,6,-0.283,,-0.479,-0.296
1853,7,-0.167,,-0.266,-0.035
1853,8,-0.256,,-0.368,-0.157
1853,9,-0.512,,-0.691,-0.46
1853,10,-0.47,,-0.761,-0.577
1853,11,-0.363,,-0.927,-0.725
1853,12,-0.545,,-0.617,-0.58
1854,1,-0.473,,-0.815,-0.619
1854,2,-0.39,,-0.86,-0.577
1854,3,-0.394,,-0.569,-0.357
1854,4,-0.461,,-0.659,-0.45
1854,5,-0.341,,-0.571,-0.513
1854,6,-0.327,,-0.721,-0.491
1854,7,-0.335,,-0.457,-0.268
1854,8,-0.275,,-0.462,-0.158
1854,9,-0.227,,-0.517,-0.15
1854,10,-0.3,,-0.165,-0.104
1854,11,-0.475,,-0.538,-0.432
1854,12,-0.341,,-0.415,-0.418
1855,1,-0.277,,-0.268,-0.211
1855,2,-0.509,,-0.384,-0.525
1855,3,-0.414,,-0.533,-0.499
1855,4,-0.331,,-0.35,-0.186
1855,5,-0.446,,-0.476,-0.354
1855,6,-0.275,,-0.517,-0.265
1855,7,-0.379,,-0.616,-0.356
1855,8,-0.271,,-0.515,-0.232
1855,9,-0.444,,-0.741,-0.498
1855,10,-0.325,,-0.583,-0.352
1855,11,-0.322,,-0.584,-0.406
1855,12,-0.626,,-0.855,-0.614
1856,1,-0.23,,-0.381,-0.29
1856,2,-0.484,,-0.743,-0.637
1856,3,-0.636,,-0.711,-0.665
1856,4,-0.488,,-0.566,-0.508
1856,5,-0.237,,-0.539,-0.383
1856,6,-0.399,,-0.392,-0.247
1856,7,-0.412,,-0.545,-0.364
1856,8,-0.417,,-0.799,-0.406
1856,9,-0.569,,-0.988,-0.661
1856,10,-0.499,,-0.904,-0.598
1856,11,-0.716,,-0.839,-0.729
1856,12,-0.557,,-0.663,-0.574
1857,1,-0.621,,-0.793,-0.822
1857,2,-0.453,,-0.794,-0.537
1857,3,-0.542,,-0.763,-0.646
1857,4,-0.757,,-1.123,-0.925
1857,5,-0.678,,-1.076,-0.856
1857,6,-0.418,,-0.843,-0.395
1857,7,-0.649,,-0.739,-0.539
1857,8,-0.437,,-0.733,-0.319
1857,9,-0.501,,-0.719,-0.464
1857,10,-0.582,,-0.765,-0.57
1857,11,-0.776,,-0.792,-0.751
1857,12,-0.466,,-0.591,-0.395
1858,1,-0.636,,-0.544,-0.531
1858,2,-0.816,,-0.824,-0.69
1858,3,-0.656,,-0.563,-0.653
1858,4,-0.62,,-0.574,-0.454
1858,5,-0.761,,-0.76,-0.671
1858,6,-0.69,,-0.641,-0.581
1858,7,-0.437,,-0.698,-0.434
1858,8,-0.386,,-0.691,-0.431
1858,9,-0.44,,-0.787,-0.503
1858,10,-0.319,,-0.582,-0.357
1858,11,-0.751,,-0.515,-0.628
1858,12,-0.412,,-0.817,-0.518
1859,1,-0.416,,-0.703,-0.665
1859,2,-0.297,,-0.752,-0.573
1859,3,-0.435,,-0.567,-0.571
1859,4,-0.303,,-0.368,-0.233
1859,5,-0.415,,-0.378,-0.366
1859,6,-0.356,,-0.505,-0.361
1859,7,-0.382,,-0.661,-0.483
1859,8,-0.208,,-0.739,-0.346
1859,9,-0.673,,-0.934,-0.789
1859,10,-0.357,,-0.606,-0.386
1859,11,-0.423,,-0.584,-0.457
1859,12,-0.471,,-0.546,-0.468
1860,1,-0.289,,-0.664,-0.581
1860,2,-0.534,,-0.633,-0.639
1860,3,-0.75,,-1.061,-1.104
1860,4,-0.44,,-0.678,-0.589
1860,5,-0.401,,-0.57,-0.48
1860,6,-0.417,,-0.541,-0.464
1860,7,-0.217,,-0.46,-0.237
1860,8,-0.29,,-0.397,-0.269
1860,9,-0.325,,-0.473,-0.255
1860,10,-0.303,,-0.557,-0.392
1860,11,-0.623,,-0.813,-0.748
1860,12,-0.87,,-1.24,-1.097
1861,1,-1.001,,-1.419,-1.243
1861,2,-0.616,,-1.053,-0.933
1861,3,-0.572,,-0.961,-0.663
1861,4,-0.494,,-0.729,-0.421
1861,5,-0.876,,-0.738,-0.745
1861,6,-0.297,,-0.64,-0.412
1861,7,-0.329,,-0.561,-0.52
1861,8,-0.202,,-0.457,-0.176
1861,9,-0.438,,-0.668,-0.425
1861,10,-0.47,,-0.801,-0.571
1861,11,-0.525,,-0.566,-0.625
1861,12,-0.355,,-0.726,-0.539
1862,1,-0.85,,-1.182,-1.049
1862,2,-0.888,,-0.961,-0.773
1862,3,-0.511,,-0.727,-0.715
1862,4,-0.348,,-0.861,-0.709
1862,5,-0.333,,-0.569,-0.564
1862,6,-0.444,,-0.619,-0.425
1862,7,-0.452,,-0.649,-0.447
1862,8,-0.808,,-0.774,-0.722
1862,9,-0.528,,-0.885,-0.496
1862,10,-0.528,,-0.79,-0.586
1862,11,-0.874,,-0.987,-0.77
1862,12,-0.995,,-1.308,-1.169
1863,1,0.014,,-0.448,-0.443
1863,2,-0.132,,-0.443,-0.486
1863,3,-0.473,,-0.631,-0.653
1863,4,-0.352,,-0.521,-0.467
1863,5,-0.437,,-0.475,-0.474
1863,6,-0.51,,-0.616,-0.541
1863,7,-0.531,,-0.66,-0.383
1863,8,-0.434,,-0.675,-0.469
1863,9,-0.424,,-0.804,-0.432
1863,10,-0.492,,-0.794,-0.575
1863,11,-0.437,,-0.681,-0.59
1863,12,-0.449,,-0.729,-0.541
1864,1,-1.049,,-0.922,-1.009
1864,2,-0.74,,-0.738,-0.767
1864,3,-0.615,,-0.687,-0.639
1864,4,-0.656,,-0.7,-0.7
1864,5,-0.562,,-0.431,-0.412
1864,6,-0.273,,-0.392,-0.272
1864,7,-0.267,,-0.482,-0.349
1864,8,-0.419,,-0.619,-0.452
1864,9,-0.553,,-0.733,-0.584
1864,10,-0.814,,-0.61,-0.725
1864,11,-0.58,,-0.663,-0.471
1864,12,-0.723,,-0.737,-0.748
1865,1,-0.209,,-0.249,-0.35
1865,2,-0.723,,-0.648,-0.595
1865,3,-0.754,,-0.724,-0.842
1865,4,-0.344,,-0.719,-0.585
1865,5,-0.373,,-0.556,-0.469
1865,6,-0.393,,-0.54,-0.331
1865,7,-0.244,,-0.444,-0.373
1865,8,-0.318,,-0.453,-0.342
1865,9,-0.193,,-0.489,-0.288
1865,10,-0.378,,-0.459,-0.367
1865,11,-0.308,,-0.453,-0.477
1865,12,-0.45,,-0.752,-0.538
1866,1,-0.071,,-0.234,-0.343
1866,2,-0.324,,-0.616,-0.455
1866,3,-0.704,,-0.718,-0.688
1866,4,-0.373,,-0.783,-0.659
1866,5,-0.638,,-0.597,-0.643
1866,6,-0.01,,-0.466,-0.169
1866,7,-0.09,,-0.125,-0.113
1866,8,-0.381,,-0.455,-0.34
1866,9,-0.34,,-0.601,-0.505
1866,10,-0.533,,-0.593,-0.513
1866,11,-0.417,,-0.393,-0.362
1866,12,-0.442,,-0.224,-0.35
1867,1,-0.421,,-0.431,-0.431
1867,2,-0.101,,-0.638,-0.533
1867,3,-0.822,,-0.603,-0.816
1867,4,-0.374,,-0.469,-0.563
1867,5,-0.654,,-0.719,-0.719
1867,6,-0.412,,-0.517,-0.511
1867,7,-0.355,,-0.488,-0.419
1867,8,-0.342,,-0.577,-0.506
1867,9,-0.211,,-0.438,-0.27
1867,10,-0.294,,-0.258,-0.283
1867,11,-0.422,,-0.002,-0.217
1867,12,-0.736,,-0.399,-0.483
1868,1,-0.808,,-0.749,-0.822
1868,2,-0.579,,-0.898,-0.846
1868,3,-0.187,,-0.586,-0.499
1868,4,-0.489,,-0.388,-0.431
1868,5,-0.185,,-0.34,-0.309
1868,6,-0.286,,-0.334,-0.282
1868,7,0.03,,-0.135,-0.042
1868,8,-0.149,,-0.282,-0.195
1868,9,-0.31,,-0.488,-0.343
1868,10,-0.346,,-0.235,-0.256
1868,11,-0.613,,-0.573,-0.449
1868,12,-0.239,,-0.366,-0.274
1869,1,-0.357,,-0.424,-0.457
1869,2,0.15,,-0.286,-0.062
1869,3,-0.699,,-0.694,-0.774
1869,4,-0.329,,-0.531,-0.483
